# u v x y z
-5.000000000000000000e+00 3.000000000000000000e+00 -4.318913161754608154e+00 2.318129360675811768e+00 1.034239530563354492e+00
-3.000000000000000000e+00 5.000000000000000000e+00 -2.320801556110382080e+00 4.319994509220123291e+00 1.038240075111389160e+00
-5.000000000000000000e+00 5.000000000000000000e+00 -4.000000000000000000e+00 4.000000000000000000e+00 5.745323703731749991e-44
3.000000000000000000e+00 5.000000000000000000e+00 2.316603899002075195e+00 4.317512214183807373e+00 1.032187342643737793e+00
5.000000000000000000e+00 3.000000000000000000e+00 4.318451106548309326e+00 2.319383621215820312e+00 1.036419391632080078e+00
5.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+00 -7.707141553786493890e-44
5.000000000000000000e+00 -3.000000000000000000e+00 4.316592514514923096e+00 -2.317937135696411133e+00 1.034640431404113770e+00
3.000000000000000000e+00 -5.000000000000000000e+00 2.316882371902465820e+00 -4.318207800388336182e+00 1.032427310943603516e+00
5.000000000000000000e+00 -5.000000000000000000e+00 4.000000000000000000e+00 -4.000000000000000000e+00 -3.783505853677006091e-44
-3.000000000000000000e+00 -5.000000000000000000e+00 -2.320076406002044678e+00 -4.319505393505096436e+00 1.037217140197753906e+00
-5.000000000000000000e+00 -3.000000000000000000e+00 -4.319177031517028809e+00 -2.318625211715698242e+00 1.034964442253112793e+00
-5.000000000000000000e+00 -5.000000000000000000e+00 -4.000000000000000000e+00 -4.000000000000000000e+00 1.064986832886860974e-43
-4.857142925262451172e+00 3.142857074737548828e+00 -4.176193475723266602e+00 2.461122274398803711e+00 1.034517526626586914e+00
-4.714285850524902344e+00 3.285714387893676758e+00 -4.033471941947937012e+00 2.604112803936004639e+00 1.034798979759216309e+00
-4.571428775787353516e+00 3.428571462631225586e+00 -3.890749633312225342e+00 2.747103095054626465e+00 1.035081863403320312e+00
-4.428571224212646484e+00 3.571428537368774414e+00 -3.748027086257934570e+00 2.890093386173248291e+00 1.035365700721740723e+00
-4.285714149475097656e+00 3.714285612106323242e+00 -3.605304539203643799e+00 3.033083498477935791e+00 1.035650253295898438e+00
-4.142857074737548828e+00 3.857142925262451172e+00 -3.462582230567932129e+00 3.176074147224426270e+00 1.035934805870056152e+00
-4.000000000000000000e+00 4.000000000000000000e+00 -3.319859683513641357e+00 3.319064378738403320e+00 1.036220550537109375e+00
-3.857142925262451172e+00 4.142857074737548828e+00 -3.177137553691864014e+00 3.462055027484893799e+00 1.036506295204162598e+00
-3.714285612106323242e+00 4.285714149475097656e+00 -3.034415066242218018e+00 3.605045437812805176e+00 1.036793112754821777e+00
-3.571428537368774414e+00 4.428571224212646484e+00 -2.891693055629730225e+00 3.748036086559295654e+00 1.037080168724060059e+00
-3.428571462631225586e+00 4.571428775787353516e+00 -2.748971045017242432e+00 3.891026675701141357e+00 1.037367820739746094e+00
-3.285714387893676758e+00 4.714285850524902344e+00 -2.606248617172241211e+00 4.034017145633697510e+00 1.037656545639038086e+00
-3.142857074737548828e+00 4.857142925262451172e+00 -2.463526546955108643e+00 4.177006602287292480e+00 1.037946343421936035e+00
-3.200000047683715820e+00 5.000000000000000000e+00 -2.488719463348388672e+00 4.287999212741851807e+00 9.344117045402526855e-01
-3.400000095367431641e+00 5.000000000000000000e+00 -2.656639099121093750e+00 4.256000161170959473e+00 8.305860757827758789e-01
-3.599999904632568359e+00 5.000000000000000000e+00 -2.824558258056640625e+00 4.224000632762908936e+00 7.267618179321289062e-01
-3.799999952316284180e+00 5.000000000000000000e+00 -2.992478251457214355e+00 4.192000508308410645e+00 6.229378581047058105e-01
-4.000000000000000000e+00 5.000000000000000000e+00 -3.160397827625274658e+00 4.160000085830688477e+00 5.191149711608886719e-01
-4.199999809265136719e+00 5.000000000000000000e+00 -3.328317940235137939e+00 4.127999782562255859e+00 4.152919650077819824e-01
-4.400000095367431641e+00 5.000000000000000000e+00 -3.496237635612487793e+00 4.095998942852020264e+00 3.114699721336364746e-01
